               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.041046,            0.023047,           0.0067728,             0.54175,             0.50796,             0.47692,              0.2288,            0.058887,            0.014506,             0.02276,            0.008119,            0.008119,            0.008119
                  78,            0.042451,            0.023803,           0.0081202,             0.46212,             0.36431,              0.3416,             0.17354,            0.068778,            0.014178,              0.0274,           0.0080942,           0.0080942,           0.0080942
                  79,            0.041933,            0.023848,           0.0082187,             0.49684,             0.44422,             0.41395,             0.18585,            0.062682,            0.014569,            0.027272,           0.0080695,           0.0080695,           0.0080695
                  80,            0.038659,            0.023255,           0.0090981,             0.47918,             0.42994,             0.42055,             0.20654,            0.058139,            0.014709,            0.027196,           0.0080447,           0.0080447,           0.0080447
                  81,            0.039908,            0.023219,           0.0074202,             0.52905,                0.45,             0.45592,             0.21728,            0.058396,            0.014965,            0.025342,             0.00802,             0.00802,             0.00802
                  82,            0.040673,            0.022887,           0.0084583,             0.61597,              0.4473,             0.45389,             0.23342,            0.059704,            0.015248,            0.028154,           0.0079953,           0.0079953,           0.0079953
                  83,            0.041004,            0.022827,           0.0076834,             0.55432,             0.42154,             0.38717,             0.18534,            0.063551,            0.014897,            0.037039,           0.0079705,           0.0079705,           0.0079705
                  84,            0.039647,            0.023399,           0.0074288,             0.60276,             0.44949,             0.45306,             0.23386,             0.06164,            0.014208,            0.024187,           0.0079457,           0.0079457,           0.0079457
                  85,            0.039364,            0.021949,           0.0092317,             0.63799,             0.50771,             0.51035,              0.2663,            0.059264,             0.01458,            0.022384,            0.007921,            0.007921,            0.007921
                  86,            0.038207,             0.02264,            0.007835,             0.55663,             0.43222,             0.44288,             0.24898,            0.060034,            0.014166,            0.027333,           0.0078963,           0.0078963,           0.0078963
                  87,            0.038891,            0.022775,           0.0081327,             0.67898,             0.35387,             0.41693,             0.21583,             0.06157,            0.014594,            0.026117,           0.0078715,           0.0078715,           0.0078715
                  88,            0.038669,            0.023426,           0.0068175,             0.33152,             0.35997,             0.31246,             0.15992,            0.068271,            0.016544,            0.027188,           0.0078467,           0.0078467,           0.0078467
                  89,            0.037158,            0.022537,           0.0061468,             0.48177,             0.42747,             0.42445,              0.2143,             0.05539,            0.014386,            0.028118,            0.007822,            0.007822,            0.007822
                  90,            0.036814,            0.021935,           0.0076108,             0.68087,              0.4162,             0.47637,             0.26473,            0.059384,            0.014122,            0.026108,           0.0077973,           0.0077973,           0.0077973
                  91,            0.039046,             0.02168,           0.0078358,             0.63553,             0.39025,             0.42053,             0.21665,            0.061962,            0.014628,            0.033714,           0.0077725,           0.0077725,           0.0077725
                  92,            0.038451,            0.020953,           0.0068556,             0.54955,             0.41293,             0.42509,              0.2228,            0.059597,            0.013865,            0.034798,           0.0077478,           0.0077478,           0.0077478
